,Factor1,Factor2,Factor3,Factor4,filename,microregister,macroregister,mode
comments2014.18209186_MAT.txt,-0.44455066892778,0.159697197124643,1.65105117760467,-0.31489734559837,comments2014.18209186_MAT.txt,online comments,online comments,written
comments2014.18458939_MAT.txt,-0.613232173222567,0.435344862897549,1.99187259396242,-0.108077531692581,comments2014.18458939_MAT.txt,online comments,online comments,written
comments2014.18535432_MAT.txt,-0.337446658460894,0.800236656456885,1.26094088877352,-0.239569663534223,comments2014.18535432_MAT.txt,online comments,online comments,written
comments2014.19155297_MAT.txt,-0.397845040038421,0.058680871446579,0.71367970136071,-0.511776109115005,comments2014.19155297_MAT.txt,online comments,online comments,written
comments2014.19358016_MAT.txt,-0.530170259130544,0.447083146014851,1.22816974022769,-0.269741786846359,comments2014.19358016_MAT.txt,online comments,online comments,written
comments2014.19453027_MAT.txt,-0.591564988317824,-0.094023620868439,1.24556352199823,-0.899371238013438,comments2014.19453027_MAT.txt,online comments,online comments,written
comments2014.19472467_MAT.txt,-0.335069637412768,-0.013864996103737,1.43872741300802,-0.669896524981312,comments2014.19472467_MAT.txt,online comments,online comments,written
comments2014.19533911_MAT.txt,-0.691743925353715,-0.009298787420773,1.27356679633199,0.484730967094865,comments2014.19533911_MAT.txt,online comments,online comments,written
comments2014.19911352_MAT.txt,-0.349868364763039,0.221846384222039,1.29998645668373,-0.614433596712991,comments2014.19911352_MAT.txt,online comments,online comments,written
comments2014.20274623_MAT.txt,-0.534724711804739,0.635051345313908,1.13282827814886,-0.344516092070668,comments2014.20274623_MAT.txt,online comments,online comments,written
comments2014.20274739_MAT.txt,-0.935919917073393,-0.439814018110134,1.24380043935992,0.002974800270017,comments2014.20274739_MAT.txt,online comments,online comments,written
comments2014.20704953_MAT.txt,-0.618017037401621,0.197112331491653,1.74224725074192,0.180889267940828,comments2014.20704953_MAT.txt,online comments,online comments,written
comments2014.21614519_MAT.txt,-0.243848561739223,0.789330506936146,1.61988522506657,-0.194824003786793,comments2014.21614519_MAT.txt,online comments,online comments,written
comments2014.21834658_MAT.txt,-0.447521948010153,0.002325142523118,1.22341731609194,-0.679676352882477,comments2014.21834658_MAT.txt,online comments,online comments,written
comments2014.22070704_MAT.txt,-0.109648866899574,0.022489264723382,1.93659719557261,-0.247324155024562,comments2014.22070704_MAT.txt,online comments,online comments,written
comments2015.22423565_MAT.txt,-0.367119873877476,-0.049041245803802,1.22156253982418,-0.082819773784639,comments2015.22423565_MAT.txt,online comments,online comments,written
comments2015.23044006_MAT.txt,-0.54911507687635,-0.489662131668681,1.29182400967292,0.365750172222332,comments2015.23044006_MAT.txt,online comments,online comments,written
comments2015.23304237_MAT.txt,-0.510619179789392,-0.042191049649998,1.53544457979269,-0.553967864340531,comments2015.23304237_MAT.txt,online comments,online comments,written
comments2015.23395519_MAT.txt,-0.580396261580687,-0.193557560465089,1.99614010627826,0.031646495528222,comments2015.23395519_MAT.txt,online comments,online comments,written
comments2015.23440363_MAT.txt,-0.577862944035339,-0.297965419248586,1.30850566341469,-0.382859459126959,comments2015.23440363_MAT.txt,online comments,online comments,written
comments2015.23701139_MAT.txt,-0.434550172382426,0.462766884369486,1.64593887789413,-0.171402779585242,comments2015.23701139_MAT.txt,online comments,online comments,written
comments2015.24123971_MAT.txt,-0.3967230097624,0.828110049656453,0.86098980537791,0.202079987796728,comments2015.24123971_MAT.txt,online comments,online comments,written
comments2015.24150908_MAT.txt,-0.826317216731097,0.040717811252236,0.841335627176294,0.251351464509345,comments2015.24150908_MAT.txt,online comments,online comments,written
comments2015.24649804_MAT.txt,-0.557883738328596,-0.052571288930516,1.13923192545529,-0.756242071577644,comments2015.24649804_MAT.txt,online comments,online comments,written
comments2015.25141317_MAT.txt,-0.518222122289833,-0.219623196769639,1.51382191336577,0.03891633837673,comments2015.25141317_MAT.txt,online comments,online comments,written
comments2015.25149957_MAT.txt,-0.497079523749328,0.497156474102966,1.01107280031176,0.449020079260084,comments2015.25149957_MAT.txt,online comments,online comments,written
comments2015.25873126_MAT.txt,-0.371730549290881,-0.213229666828526,1.3936163485765,0.537805121967359,comments2015.25873126_MAT.txt,online comments,online comments,written
comments2015.26023945_MAT.txt,-0.334772483091969,0.070475463151377,1.615813550586,-0.319126291219806,comments2015.26023945_MAT.txt,online comments,online comments,written
comments2015.26055892_MAT.txt,-0.430036613084463,0.000135544824225,1.34619841504247,-0.423469930041635,comments2015.26055892_MAT.txt,online comments,online comments,written
comments2015.26151269_MAT.txt,-0.692538682991276,-0.56123184445055,1.84619866732503,-0.552912375986513,comments2015.26151269_MAT.txt,online comments,online comments,written
