"","Factor1","Factor2","Factor3","Factor4","Factor5","filename","microregister","macroregister","mode"
"comments2014.21834658_MAT.txt",-0.817913097760046,0.364753791775488,0.944125414744773,-0.372126128874213,-0.664543043280969,"comments2014.21834658_MAT.txt","online comments","online comments","written"
"comments2014.22070704_MAT.txt",-0.652454253437923,0.0949498882148864,1.96644930161496,-0.177159594245806,-0.129136371844995,"comments2014.22070704_MAT.txt","online comments","online comments","written"
"comments2015.22423565_MAT.txt",-0.686712773974247,0.726605016777254,0.584998307834871,-0.572984963188252,-0.0943757470743589,"comments2015.22423565_MAT.txt","online comments","online comments","written"
"comments2015.23044006_MAT.txt",-0.906353126752586,0.0702271111382082,0.98409877733867,-0.638297756146429,0.455496061497882,"comments2015.23044006_MAT.txt","online comments","online comments","written"
"comments2015.23304237_MAT.txt",-0.952087098212106,0.525674689422334,1.08473309076599,-0.514807905989515,-0.5992481371103,"comments2015.23304237_MAT.txt","online comments","online comments","written"
"comments2015.23395519_MAT.txt",-1.15107785773457,0.404629310332647,1.68243418269561,-0.616961893567051,0.135600158477636,"comments2015.23395519_MAT.txt","online comments","online comments","written"
"comments2015.23440363_MAT.txt",-0.95195529994253,0.5108166272543,0.704324400055954,-0.737231956500042,-0.392385091955905,"comments2015.23440363_MAT.txt","online comments","online comments","written"
"comments2015.23701139_MAT.txt",-0.841997982595703,0.310942063780741,1.6774273491214,0.21154643479138,-0.0263090790968685,"comments2015.23701139_MAT.txt","online comments","online comments","written"
"comments2015.24123971_MAT.txt",-0.569363159572698,-0.378099092022147,1.68726070632894,1.06860226968761,0.419332920000916,"comments2015.24123971_MAT.txt","online comments","online comments","written"
"comments2015.24150908_MAT.txt",-0.947573669292397,0.468706307289625,0.302420492099196,-0.176528126046964,0.258887592428592,"comments2015.24150908_MAT.txt","online comments","online comments","written"
"comments2015.24649804_MAT.txt",-0.885392586659549,0.29736850298715,0.827563707510354,-0.349966276324139,-0.71948732118642,"comments2015.24649804_MAT.txt","online comments","online comments","written"
"comments2015.25141317_MAT.txt",-0.917315989279212,0.221487572675777,1.2068167732708,-0.462873626221136,0.0722386685644477,"comments2015.25141317_MAT.txt","online comments","online comments","written"
"comments2015.25149957_MAT.txt",-0.716310090617607,0.920425715723198,0.664112828266287,0.00724421726416029,0.464508283115703,"comments2015.25149957_MAT.txt","online comments","online comments","written"
"comments2015.25873126_MAT.txt",-0.707541516007074,0.736326321958901,0.720873196570555,-0.662602446673878,0.4915210235279,"comments2015.25873126_MAT.txt","online comments","online comments","written"
"comments2015.26023945_MAT.txt",-0.790934705820556,0.282784677890253,1.4865455447753,-0.235442527646878,-0.287186089176791,"comments2015.26023945_MAT.txt","online comments","online comments","written"
"comments2015.26055892_MAT.txt",-0.788029591812479,0.431278608320409,0.948150372990978,-0.35518483241174,-0.433412948674936,"comments2015.26055892_MAT.txt","online comments","online comments","written"
"comments2015.26151269_MAT.txt",-1.2512035756622,0.307486916696793,1.2800762258112,-0.99147420926891,-0.557362613353955,"comments2015.26151269_MAT.txt","online comments","online comments","written"
"comments2015.26415827_MAT.txt",-0.815001254318214,-0.0948213044609467,1.51492211697717,-0.284504249467886,0.254383221451692,"comments2015.26415827_MAT.txt","online comments","online comments","written"
"comments2015.26904315_MAT.txt",-0.859967107323855,0.102861600111705,1.28617723668557,-0.244814149213603,0.314980090976884,"comments2015.26904315_MAT.txt","online comments","online comments","written"
"comments2015.26995524_MAT.txt",-0.88709386794216,-0.573797377387108,1.74028030206392,-0.340048035223756,0.252109863657575,"comments2015.26995524_MAT.txt","online comments","online comments","written"
"comments2015.27165050_MAT.txt",-0.3899106126541,1.00955490857774,0.164700022164416,-0.749312350381034,0.443712351769284,"comments2015.27165050_MAT.txt","online comments","online comments","written"
"comments2015.27239046_MAT.txt",-0.55995157446988,1.02989695570742,1.26772965508784,0.140578785438568,-0.548537283008105,"comments2015.27239046_MAT.txt","online comments","online comments","written"
